,idCredito,cobrables
0,738973,0
1,739017,0
2,739185,0
3,732324,1
4,737028,0
5,737543,0
6,71507,1
7,71507,0
9,279267,0
11,279267,1
12,329377,1
13,329377,0
15,372875,1
17,380168,0
19,380168,1
20,381534,1
22,381534,0
23,388636,0
24,388636,1
26,407768,1
28,407768,0
29,408684,0
32,422505,0
34,422505,1
35,435123,0
37,435123,1
38,449374,0
41,452638,0
42,452638,1
44,491831,0
46,491831,1
47,496490,0
48,496490,1
49,496814,0
51,496814,1
52,529665,0
53,529665,1
55,681515,0
57,681515,1
58,682332,1
60,682332,0
61,693003,1
62,693003,0
64,695659,0
66,695659,1
67,696516,0
70,706120,0
71,706120,1
73,709523,1
76,709526,1
78,709526,0
79,710906,1
80,710906,0
82,712414,0
83,712414,1
85,712906,0
86,712906,1
88,714426,1
91,716370,1
92,716370,0
94,725225,1
97,459611,0
99,459611,1
100,470886,1
101,470886,0
103,739598,0
106,293867,0
107,295335,1
109,372875,0
118,488742,1
120,492940,0
123,661081,0
126,692869,1
131,709523,0
135,714426,0
137,725225,0
138,729232,0
139,490364,0
140,664252,1
141,709872,1
142,712926,1
143,83373,1
144,127335,0
145,155407,0
146,163958,0
147,290264,0
148,297989,1
149,298473,1
150,299455,1
151,312623,0
152,320656,1
153,322747,1
154,338312,0
155,350670,0
156,363258,1
157,365615,0
158,365744,1
159,366690,1
160,370135,0
161,374655,1
162,380722,1
163,381742,1
164,382561,0
165,385597,0
166,385816,1
167,388476,0
168,389064,0
169,390185,1
170,390575,0
171,391310,0
172,395042,1
173,396264,0
174,396719,0
175,400106,1
176,401392,0
177,403501,0
178,405159,0
179,406874,1
180,412720,0
181,412846,1
182,413210,0
183,414686,1
184,420547,1
185,421742,0
186,422024,0
187,422028,1
188,422217,1
189,422239,1
190,422904,0
191,424848,0
192,426467,0
193,427132,1
194,428221,0
195,429718,0
196,430220,0
197,434005,0
198,465169,0
199,466231,1
200,470704,0
201,472257,1
202,474280,0
203,475043,1
204,480978,0
205,481141,1
206,481220,0
207,481528,0
208,483699,1
209,484104,0
210,484270,1
211,486304,0
212,486851,1
213,487456,0
214,487600,1
215,488019,1
216,490655,1
217,495453,1
218,495791,0
219,497789,0
220,505085,1
221,506506,0
222,508162,1
223,574612,0
224,575806,0
225,661415,1
226,661889,0
227,684952,0
228,694608,1
229,695478,0
230,695583,1
231,701904,1
232,703854,1
233,707178,0
234,712992,1
235,713324,1
236,713662,1
237,713836,1
238,715004,0
239,721577,1
240,722159,1
241,723028,1
242,725741,0
243,726130,0
244,366046,1
245,427609,0
246,683653,0
247,686634,1
248,689508,0
249,690572,1
252,425211,1
253,317372,0
254,325900,0
255,395084,1
256,430248,1
257,437336,1
258,466479,0
259,475597,1
260,481269,0
261,482633,0
262,489813,0
263,575684,0
264,133936,1
265,160756,0
266,273803,0
267,286960,1
268,403792,1
269,416184,1
270,524583,1
271,738973,1
272,739017,1
275,737543,1
300,408684,1
310,449374,1
337,696516,1
387,488742,0
410,155407,1
412,290264,1
415,299455,0
417,320656,0
418,322747,0
419,338312,1
423,365744,0
429,382561,1
434,390185,0
435,390575,1
438,396264,1
440,400106,0
441,401392,1
443,405159,1
445,412720,1
446,412846,0
451,422024,1
454,422239,0
455,422904,1
459,428221,1
464,466231,0
465,470704,1
467,474280,1
470,481141,0
472,481528,1
473,483699,0
476,486304,1
477,486851,0
479,487600,0
484,497789,1
486,506506,1
487,508162,0
489,575806,1
490,661889,1
495,701904,0
497,707178,1
500,713662,0
502,715004,1
504,722159,0
506,725741,1
507,726130,1
512,395084,0
514,437336,0
517,481269,1
518,482633,1
519,489813,1
520,83373,0
521,127335,1
523,163958,1
525,297989,0
536,366690,0
538,374655,0
539,380722,0
543,385816,0
548,391310,1
549,395042,0
554,403501,1
555,405159,1
559,413210,1
560,414686,0
562,421742,1
565,422217,0
572,429718,1
578,472257,0
580,475043,0
581,480978,1
590,487456,1
593,490655,0
595,495791,1
597,505085,0
600,574612,1
603,684952,1
611,713324,0
613,713836,0
615,721577,0
617,723028,0
620,317372,1
621,325900,1
623,430248,0
632,732324,0
734,293867,1
735,295335,0
754,692869,0
766,729232,1
769,708725,1
784,365615,1
792,385597,1
801,396719,1
813,422028,0
818,426467,1
822,430220,1
823,434005,1
824,465169,1
832,481220,1
836,484270,0
841,488019,0
853,694608,0
857,703854,0
859,712992,0
875,475597,0
879,382923,1
880,382923,0
882,403330,1
885,490563,1
886,490563,0
888,41488,0
889,118853,1
890,120211,1
891,131445,0
892,132239,0
893,328769,1
894,346363,1
895,352409,1
896,356060,0
897,357697,1
898,370053,1
899,375593,1
900,378597,1
901,379056,1
902,379884,1
903,387371,0
904,388066,1
905,391436,1
906,392097,0
907,393336,1
908,409753,1
909,426588,1
910,429100,1
911,439854,0
912,446777,0
913,449055,0
914,449613,0
915,454654,0
916,460530,0
917,463429,0
918,465481,0
919,467758,1
920,472085,0
921,473186,0
922,476139,0
923,478526,1
924,479039,1
925,479228,0
926,479853,1
927,480646,1
928,481628,1
929,483366,0
930,483665,1
931,484061,1
932,484539,1
933,485024,0
934,486679,1
935,487102,0
936,488023,1
937,488647,1
938,489340,0
939,493461,0
940,493814,0
941,494813,0
942,495398,0
943,495768,1
944,497037,0
945,499929,0
946,501344,0
947,501393,0
948,501415,0
949,502224,0
950,502832,1
951,503506,0
952,503852,0
953,504476,1
954,504825,1
955,505140,0
956,505217,0
957,505302,1
958,506507,1
959,507142,0
960,507219,0
961,507504,1
962,507753,1
963,507841,1
964,507911,0
965,508012,0
966,508083,0
967,508689,1
968,509472,0
969,510297,1
970,510298,0
971,511171,0
972,511332,0
973,512667,1
974,513668,0
975,514075,0
976,514316,1
977,515938,0
978,517805,0
979,518142,0
