idListaCobro,idCredito,consecutivoCobro,montoCobrar,montoCobrado,fechaCobroBanco,IdBanco_Credito,idEmisora,IdBanco_Emisora,TipoEnvio,IdRespuestaBanco,Descripcion,Status,idBanco,fechaEnvioCobro,transCount,transSuccess,transResidual,pagoAnterior,ratio_cobrado_cobrar,residual_cobrar,Costo,residualAnterior,ratioAnterior
161082,710516,43799541,292.67,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,74,0.0,74.0,0.0,0.0,292.67,0.0,0.0,0.0
159803,658926,43243170,634.01,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,78,5.0,73.0,0.0,0.0,634.01,1.75,0.0,0.0
159921,746569,43319601,280.96,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,87,0.0,87.0,0.0,0.0,280.96,1.75,0.0,0.0
159044,582117,42836313,135.99,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,2025-11-03,455,0.0,455.0,0.0,0.0,135.99,0.0,0.0,0.0
159103,659512,42880363,238.74,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,2025-12-03,447,3.0,444.0,0.0,0.0,238.74,0.0,0.0,0.0
159644,729485,43128002,1137.7,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,8,1.0,7.0,0.0,0.0,1137.7,0.0,0.0,0.0
160581,690452,43627557,550.44,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,2025-11-04,444,13.0,431.0,0.0,0.0,550.44,0.0,0.0,0.0
161194,662498,43866054,93.29,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,933,1.0,932.0,0.0,0.0,93.29,1.75,0.0,0.0
160963,721982,43738780,200.0,0.0,,21,25,12,INTERBANCARIO,4,Cuenta Insuficiencia Fondos,reintento,12,,8,2.0,6.0,0.0,0.0,200.0,0.0,0.0,0.0
158433,690328,42588658,169.64,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,310,10.0,300.0,0.0,0.0,169.64,1.75,0.0,0.0
157046,711545,41819580,410.43,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,121,0.0,121.0,0.0,0.0,410.43,0.0,0.0,0.0
158278,71507,42473843,179.85,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,479,0.0,479.0,0.0,0.0,179.85,1.75,0.0,0.0
156581,687294,41629624,424.09,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,73,0.0,73.0,0.0,0.0,424.09,1.75,0.0,0.0
158430,732547,42586395,948.92,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,377,2.0,375.0,0.0,0.0,948.92,0.0,0.0,0.0
160470,733755,43574984,1613.52,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-04,210,14.0,196.0,0.0,0.0,1613.52,1.75,0.0,0.0
156550,703155,41603813,458.69,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,65,0.0,65.0,0.0,0.0,458.69,0.0,0.0,0.0
160453,709596,43569976,625.78,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,2025-10-04,18,0.0,18.0,0.0,0.0,625.78,0.0,0.0,0.0
161751,695949,44075230,1081.21,0.0,,14,9,14,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,14,2025-12-05,5,0.0,5.0,0.0,0.0,1081.21,2.37,0.0,0.0
156564,711301,41610676,860.44,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,64,0.0,64.0,0.0,0.0,860.44,0.0,0.0,0.0
157214,708803,41926025,577.67,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,101,3.0,98.0,0.0,0.0,577.67,0.0,0.0,0.0
157438,654014,42051665,106.02,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,233,0.0,233.0,0.0,0.0,106.02,0.0,0.0,0.0
158685,470950,42715535,164.12,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,433,0.0,433.0,0.0,0.0,164.12,0.0,0.0,0.0
160477,696883,43581989,670.24,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,2025-10-04,17,0.0,17.0,0.0,0.0,670.24,0.0,0.0,0.0
161266,714771,43900771,174.6,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,729,1.0,728.0,0.0,0.0,174.6,0.0,0.0,0.0
158202,646389,42433074,318.28,0.0,,12,17,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,330,0.0,330.0,0.0,0.0,318.28,0.0,0.0,0.0
162029,686453,44206512,345.89,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,792,5.0,787.0,0.0,0.0,345.89,0.0,0.0,0.0
157728,735058,42211362,461.83,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,98,0.0,98.0,0.0,0.0,461.83,0.0,0.0,0.0
157177,697071,41903462,648.23,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,156,0.0,156.0,0.0,0.0,648.23,0.0,0.0,0.0
157859,634569,42296132,254.45,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,307,4.0,303.0,0.0,0.0,254.45,0.0,0.0,0.0
157772,698536,42246241,348.03,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,315,0.0,315.0,0.0,0.0,348.03,1.75,0.0,0.0
157240,655198,41944982,286.26,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,172,0.0,172.0,0.0,0.0,286.26,0.0,0.0,0.0
156472,688920,41567511,296.86,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,41,0.0,41.0,0.0,0.0,296.86,1.75,0.0,0.0
158397,663563,42561502,436.47,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,149,9.0,140.0,0.0,0.0,436.47,1.75,0.0,0.0
161194,701944,43866319,839.95,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,916,1.0,915.0,0.0,0.0,839.95,1.75,0.0,0.0
159677,723137,43156111,638.09,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,243,10.0,233.0,0.0,0.0,638.09,1.75,0.0,0.0
159860,645616,43284035,169.63,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,567,0.0,567.0,0.0,0.0,169.63,0.0,0.0,0.0
158551,571365,42648263,353.86,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,374,0.0,374.0,0.0,0.0,353.86,0.0,0.0,0.0
160793,747601,43679636,1673.7,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,47,3.0,44.0,0.0,0.0,1673.7,0.0,0.0,0.0
157723,715863,42208512,267.52,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-12-02,326,0.0,326.0,0.0,0.0,267.52,1.75,0.0,0.0
159812,646389,43253225,318.28,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,563,3.0,560.0,0.0,0.0,318.28,0.0,0.0,0.0
161105,693544,43815822,735.27,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,,514,16.0,498.0,0.0,0.0,735.27,0.0,0.0,0.0
161138,638820,43841984,303.43,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,,721,0.0,721.0,0.0,0.0,303.43,0.0,0.0,0.0
161257,704423,43896238,451.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,885,8.0,877.0,0.0,0.0,451.41,1.75,0.0,0.0
159960,625893,43344739,131.47,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,710,5.0,705.0,0.0,0.0,131.47,1.75,0.0,0.0
159632,710196,43122974,289.42,0.0,,72,12,72,TRADICIONAL,26,Bajo Pago,reintento,72,,2,1.0,1.0,289.42,0.0,289.42,2.5,289.42,1.0
157912,659789,42312497,476.03,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,393,0.0,393.0,0.0,0.0,476.03,1.75,0.0,0.0
161739,693747,44067841,163.69,0.0,,12,21,12,EN LINEA,4,Cuenta Insuficiencia Fondos,reintento,12,2025-12-05,729,0.0,729.0,0.0,0.0,163.69,0.0,0.0,0.0
160569,649650,43616350,200.29,0.0,,12,6,12,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,12,2025-11-04,616,3.0,613.0,0.0,0.0,200.29,0.0,0.0,0.0
160870,693469,43705034,439.0,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,340,18.0,322.0,0.0,0.0,439.0,1.75,0.0,0.0
158978,659046,42779825,658.78,0.0,,2,1,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-11-03,217,10.0,207.0,0.0,0.0,658.78,1.75,0.0,0.0
